GeneSymbol,SMILES,ChemicalName,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Prediccion
AKT1,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate affects the expression of AKT1 protein,affects^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222.0,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1
PTEN,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate results in increased expression of PTEN protein,increases^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222.0,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1
EIF4EBP1,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate affects the expression of EIF4EBP1 protein,affects^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222.0,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1
TSC2,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate results in increased expression of TSC2 protein,increases^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222.0,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1
TP53,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate promotes the reaction [TP53 protein binds to CDKN1A promoter],affects^binding|increases^reaction,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1.0,82.98,-2.0209,high,high,high,high,0.6,0.0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
TP53,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of TP53 protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1.0,82.98,-2.0209,high,high,high,high,0.6,0.0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
CDKN2A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN2A mRNA,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1.0,82.98,-2.0209,high,high,high,high,0.6,0.0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
CDKN2A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN2A protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1.0,82.98,-2.0209,high,high,high,high,0.6,0.0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate promotes the reaction [TP53 protein binds to CDKN1A promoter],affects^binding|increases^reaction,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1.0,82.98,-2.0209,high,high,high,high,0.6,0.0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN1A mRNA,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1.0,82.98,-2.0209,high,high,high,high,0.6,0.0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN1A protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1.0,82.98,-2.0209,high,high,high,high,0.6,0.0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
AKT1,[CH2-]C1CCCCC1[CH2-].C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O.C1=C(C(=O)NC(=O)N1)F.C(=O)(C(=O)O)O.[Pt+2],Folfox protocol,Curcumin promotes the reaction [Folfox protocol results in decreased expression of and results in decreased phosphorylation of and results in decreased activity of AKT1 protein],decreases^activity|decreases^expression|decreases^phosphorylation|increases^reaction,998.835,473.445,473.165898,-2.2121,-4.076,14,7,340.09,0.49272,215.55,-6.7653,none,none,none,none,0.58824,0.57343,0.86255,5,34,14,0,14,2,9,3,6,8,3,1,2,0,2,1,0,0,1,0,2,0,3,1,0,1,0,1,2,1
AKT1,[CH2-]C1CCCCC1[CH2-].C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O.C1=C(C(=O)NC(=O)N1)F.C(=O)(C(=O)O)O.[Pt+2],Folfox protocol,Folfox protocol results in decreased expression of and results in decreased phosphorylation of and results in decreased activity of AKT1 protein,decreases^activity|decreases^expression|decreases^phosphorylation,998.835,473.445,473.165898,-2.2121,-4.076,14,7,340.09,0.49272,215.55,-6.7653,none,none,none,none,0.58824,0.57343,0.86255,5,34,14,0,14,2,9,3,6,8,3,1,2,0,2,1,0,0,1,0,2,0,3,1,0,1,0,1,2,1
TP53,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,"[1,8-diazafluoren-one results in decreased activity of HMOX1 protein] inhibits the reaction [cobaltiprotoporphyrin results in increased expression of TP53 protein]",decreases^activity|decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
TP53,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin affects the expression of TP53 protein,affects^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
TP53,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,cobaltiprotoporphyrin results in increased expression of TP53 protein,increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
TP53,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],cobaltiprotoporphyrin,[zinc protoporphyrin results in decreased activity of HMOX1 protein] inhibits the reaction [cobaltiprotoporphyrin results in increased expression of TP53 protein],decreases^activity|decreases^reaction|increases^expression,619.585,562.668,562.258006,5.1545,-6.473,8,4,435.19,0.23151,127.14,-2.0517,none,none,none,none,0.38095,0.2222,0.99515,4,42,8,0,8,0,8,5,5,10,4,0,4,0,3,1,0,0,0,0,3,1,0,0,0,0,1,2,2,1
