GeneSymbol,SMILES,ChemicalName,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens
AKT1,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate affects the expression of AKT1 protein,affects^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
PTEN,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate results in increased expression of PTEN protein,increases^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
EIF4EBP1,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate affects the expression of EIF4EBP1 protein,affects^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
TSC2,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate results in increased expression of TSC2 protein,increases^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
TP53,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate promotes the reaction [TP53 protein binds to CDKN1A promoter],affects^binding|increases^reaction,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TP53,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of TP53 protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN2A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN2A mRNA,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN2A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN2A protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate promotes the reaction [TP53 protein binds to CDKN1A promoter],affects^binding|increases^reaction,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN1A mRNA,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN1A protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AKT1,[C-]#[O+],Carbon Monoxide,Carbon Monoxide inhibits the reaction [IL18 protein results in decreased phosphorylation of AKT1 protein],decreases^phosphorylation|decreases^reaction,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTEN,[C-]#[O+],Carbon Monoxide,Carbon Monoxide inhibits the reaction [IL18 protein results in increased expression of PTEN protein],decreases^reaction|increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK14,[C-]#[O+],Carbon Monoxide,MAPK14 protein affects the reaction [BCL2A1 protein inhibits the reaction [NFKBIA protein inhibits the reaction [[HMOX1 protein results in increased chemical synthesis of Carbon Monoxide] which results in decreased susceptibility to TNF protein]]],affects^reaction|decreases^reaction|decreases^response to substance|increases^chemical synthesis,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK14,[C-]#[O+],Carbon Monoxide,MAPK14 protein affects the reaction [BIRC3 protein inhibits the reaction [NFKBIA protein inhibits the reaction [[HMOX1 protein results in increased chemical synthesis of Carbon Monoxide] which results in decreased susceptibility to TNF protein]]],affects^reaction|decreases^reaction|decreases^response to substance|increases^chemical synthesis,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,[Air Pollutants results in increased abundance of [Particulate Matter co-treated with Carbon co-treated with Sulfur Dioxide co-treated with Nitrogen Oxides co-treated with Carbon Monoxide]] which results in increased secretion of IL6 protein,affects^cotreatment|increases^abundance|increases^secretion,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,Carbon Monoxide inhibits the reaction [TNF protein results in increased expression of IL6 protein],decreases^reaction|increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,Carbon Monoxide results in increased expression of IL6 protein,increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,FGB gene SNP affects the reaction [Carbon Monoxide results in increased expression of IL6 protein],affects^reaction|increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
