Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Senotherapeutics:,Leadlikeness
"(5-(2,4-bis((3S)-3-methylmorpholin-4-yl)pyrido(2,3-d)pyrimidin-7-yl)-2-methoxyphenyl)methanol",CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C,465.552,2.4865,9,1,351.95,0.23614,5,1,True
(E)-4-((2-N-(4-methoxybenzenesulfonyl)amino)stilbazole)1-oxide,COC1=CC=C(C=C1)S(=O)(=O)N=C2C=CC=CC2=CC=C3C=CN(C=C3)O,382.439,1.759,6,1,292.14,0.22845,3,1,True
10-decarbamoylmitomycin C,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2CO)OC)N4)N,291.306,-1.6656,7,3,197.58,0.45359,2,1,True
10-hydroxycamptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O,364.356,0.8381,7,2,246.2,0.31194,1,1,True
103D5R,CC(C1=C(C2=C(C=C1)OC(C=C2)(C)C)OC)N3C=NC4=C3C=CC=N4,335.406,4.0763,5,0,259.29,0.18824,3,1,True
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C(=O)O)O,344.449,4.8547,4,2,266.17,0.18499,5,1,True
"14-deoxy-11,12-didehydroandrographolide",CC12CCC(C(C1CCC(=C)C2C=CC3=CCOC3=O)(C)CO)O,332.438,2.4713,4,2,252.81,0.19477,3,1,True
"2',4'-dichlorobenzamil amiloride",C1=CC(=C(C=C1Cl)Cl)CNN=CNC(=O)C2=C(N=C(C(=N2)Cl)N)N,388.645,1.6264,8,4,273.03,0.36608,4,1,True
2-(1-(3-dimethylaminopropyl)-5-methoxyindol-3-yl)-3-(1H-indol-3-yl)maleimide,CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,442.517,1.6506,7,2,335.73,0.21431,7,1,True
2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],360.347,3.1415,6,1,269.65,0.24606,4,1,True
2-phenyl-4-(3-pyridin-2-yl-1H-pyrazol-4-yl)pyridine,C1=CC=C(C=C1)C2=NC=CC(=C2)C3=C(NN=C3)C4=CC=CC=N4,298.348,2.802,4,1,238.39,0.19674,3,1,True
"3',4',7-trihydroxyisoflavone",C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3)O)O)O,270.239,1.6272,5,3,191.03,0.32634,1,1,True
3-((3-trifluoromethyl)phenyl)-5-((3-carboxyphenyl)methylene)-2-thioxo-4-thiazolidinone,C1=CC(=CC(=C1)N2C(=O)C(=CC3=CC=C(C=C3)C(=O)O)SC2=S)C(F)(F)F,409.407,3.2257,4,1,276.04,0.31959,4,1,True
3-(5'-hydroxymethyl-2'-furyl)-1-benzylindazole,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,304.348,2.8289,4,1,238.9,0.18857,4,1,True
3-O-caffeoyl-1-methylquinic acid,COC1(CC(C(C(C1)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O)C(=O)O,368.337,-0.3406,9,5,261.2,0.42718,6,1,True
"3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, Methyl ester",CC1=C(C(C(=C(N1)C)[N+](=O)[O-])C2=CC=CC=C2C(F)(F)F)C(=O)OC,356.299,2.6273,6,1,247.22,0.2626,5,1,True
3-deazaneplanocin,C1=CN=C(C2=C1N(C=N2)C3C=C(C(C3O)O)CO)N,262.268,-0.8991,7,4,184.62,0.45163,2,1,True
4'-O-methylalpinumisoflavone,CC1(C=CC2=C(O1)C=C3C(=C2O)C(=O)C(=CO3)C4=CC=C(C=C4)OC)C,350.369,3.2753,5,1,258.52,0.21716,2,1,True
"4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid",C1=CC(=C(C=C1N=C=S)S(=O)(=O)O)C=CC2=C(C=C(C=C2)N=C=S)S(=O)(=O)O,454.527,1.9028,8,2,319.94,0.50753,6,1,True
4-((alpha-L-rhamnosyloxy)benzyl)isothiocyanate,CC1C(C(C(C(O1)OC2=CC=C(C=C2)CN=C=S)O)O)O,311.357,1.6027,6,3,232.61,0.42479,4,1,True
4-(4-(3-(pyridin-2-yl)-1H-pyrazol-4-yl)pyridin-2-yl)-N-(tetrahydro-2H-pyran-4-yl)benzamide,C1COCCC1NC(=O)C2=CC=C(C=C2)C3=NC=CC(=C3)C4=C(NN=C4)C5=CC=CC=N5,425.491,2.6325,7,2,331.64,0.24545,5,1,True
4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,331.349,3.7174,4,2,252.33,0.19431,3,1,True
"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,384.394,3.252,7,2,286.16,0.29438,4,1,True
5'-methylthioadenosine,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,297.338,-0.6637,8,3,204.57,0.53155,3,1,True
