Name,SMILE,Total Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,DataBase,Senotherapeutic
Ferric nitrilotriacetate,C(C(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Fe+3],243.96,191.042989,-3.8594,0.868,7,3,137.38,0.59667,115.14,-8.1014,0.53846,0.7624,0.49074,2,13,7,0,7,0,6,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,NoSenotherapeutic,0
Nitrilotriacetic acid,C(C(=O)O)N(CC(=O)O)CC(=O)O,191.138,191.042989,-3.8594,0.868,7,3,137.38,0.59667,115.14,-8.1014,0.53846,0.7624,0.49074,1,13,7,0,7,0,6,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,NoSenotherapeutic,0
Oleuropein aglycone,C/C=C/1\[C@@H](C(=CO[C@H]1O)C(=O)OC)CC(=O)OCCC2=CC(=C(C=C2)O)O,378.376,378.13147,1.5247,-2.068,8,3,284.53,0.33522,122.52,-3.8957,0.55556,0.57322,0.81194,1,27,8,0,8,2,8,2,6,13,0,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
Rapamycin,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,914.182,913.555144,6.5106,-6.713,14,3,716.91,0.22046,195.43,2.3788,0.33846,0.39174,0.95654,1,65,14,0,14,15,6,4,0,46,0,3,1,2,3,3,0,1,1,0,2,2,0,1,0,0,0,0,0,0,Senotherapeutic,1
KU-60019,C[C@@H]1CN(C[C@@H](O1)C)CC(=O)NC2=CC3=C(C=C2)SC4=C(C3)C=CC=C4C5=CC(=O)C=C(O5)N6CCOCC6,547.674,547.214092,4.2047,-5.834,8,1,403.09,0.22856,105.64,5.0285,0.53846,0.36316,0.91432,1,39,9,0,9,2,5,6,12,17,2,6,2,4,2,4,2,0,0,2,2,4,0,1,1,1,0,0,1,0,Senotherapeutic,1
PF-3644022,C[C@@H]1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CN=C(C=C5)C,374.467,374.120131,3.2076,-5.611,5,2,273.63,0.28601,95.15,4.9333,0.55556,0.19465,0.93566,1,27,6,0,6,1,1,5,19,5,0,5,1,4,0,1,4,0,0,1,0,1,3,1,1,0,1,2,0,0,Senotherapeutic,1
Proscillaridin A,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,530.655,530.28797,1.982,-4.705,8,4,372.16,0.25645,125.68,0.14199,0.52632,0.25132,1.015,1,38,8,0,8,12,3,6,0,30,0,6,4,2,4,6,0,3,4,0,1,2,0,0,0,0,0,0,0,0,Senotherapeutic,1
Ouabain,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,584.656,584.28328,-1.4423,-2.72,12,8,383.26,0.38574,206.6,0.43549,0.46341,0.23067,1.0657,1,41,12,0,12,15,4,6,0,37,0,6,4,2,5,6,0,4,4,0,1,2,0,0,0,0,0,0,0,0,Senotherapeutic,1
Ouabagenin,C[C@]12C[C@@H](O)[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)C[C@@H](O)[C@]34CO)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,438.515,438.22537,-0.5319,-2.513,8,6,289.3,0.35133,147.68,-0.74453,0.45161,0.21387,1.0419,1,31,8,0,8,10,2,5,0,27,0,5,4,1,4,5,0,4,4,0,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
Bufalin,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,386.53,386.24571,2.9969,-4.762,4,2,279.75,0.17601,66.76,-0.99834,0.53571,0.24094,0.96742,1,28,4,0,4,8,1,5,0,22,0,5,4,1,4,5,0,4,4,0,0,1,0,0,0,0,0,0,0,0,Senotherapeutic,1
