Name,SMILE,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,DataBase,Senotherapeutic
Dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1        ,488.014,488.014,487.15572,3.6259,-4.701,9,3,361.62,0.30261,134.75,8.0376,0.60606,0.48011,0.84401,1,33,11,0,11,0,7,4,17,10,2,4,1,3,1,1,3,0,0,1,1,1,2,1,3,1,2,3,3,0,Senotherapeutic,1
ABT-737,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],813.441,813.441,812.258136,6.6427,-8.674,11,2,602.63,0.20427,164.49,1.5354,0.55357,0.50022,0.90116,1,56,14,0,14,1,15,6,30,16,10,6,5,1,1,1,5,0,0,5,1,1,0,1,4,2,2,0,2,0,Senotherapeutic,1
Navitoclax (ABT-263),CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,974.628,974.628,973.295506,9.0239,-8.804,11,2,689.89,0.19026,170.42,-12.761,0.47692,0.49365,0.93566,1,65,18,0,18,1,16,7,24,26,15,7,5,2,2,3,4,0,1,4,2,2,0,1,4,2,2,0,2,0,Senotherapeutic,1
A-1331852,Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2,658.825,658.825,658.272609,5.8151,-8.951,9,2,475.94,0.24022,141.48,7.0014,0.47917,0.37683,0.98408,1,48,10,0,10,0,7,9,26,16,6,10,6,4,5,5,5,4,4,2,1,1,3,1,1,0,1,4,1,1,Senotherapeutic,1
A-1155463,CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1,669.8,669.8,669.187973,5.434,-8.138,9,2,503.94,0.25876,164.37,-1.8356,0.57447,0.39553,0.9393,1,47,12,0,12,0,11,6,26,12,1,6,3,3,1,1,5,0,0,3,1,1,2,1,2,1,1,2,2,1,Senotherapeutic,1
Alvespimycin (17-DMAG),CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,616.753,616.753,616.347216,2.0968,-3.216,12,4,487.26,0.28116,169.52,9.0528,0.43182,0.41777,0.91408,1,44,12,0,12,6,8,2,0,23,1,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,Senotherapeutic,1
Geldanamycin,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,560.642,560.642,560.273383,2.8712,-3.929,11,3,435.72,0.30292,163.48,7.0343,0.4,0.34884,0.90501,1,40,11,0,11,6,5,2,0,20,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Senotherapeutic,1
Tanespimycin (17-AAG),C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,585.695,585.695,585.305017,3.0722,-4.302,11,4,463.22,0.28809,166.28,4.6788,0.42857,0.38263,0.91241,1,42,11,0,11,6,7,2,0,19,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Senotherapeutic,1
Ganetespib,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,364.404,364.404,364.153541,3.4394,-4.722,7,3,267.78,0.27123,90.09,3.9545,0.48148,0.39103,0.88608,1,27,7,0,7,0,3,4,15,6,1,4,2,2,0,1,3,0,0,2,0,1,1,1,0,0,0,1,0,0,Senotherapeutic,1
RO-5045337 (RG7112),CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,727.795,727.795,726.27733,7.899,-7.483,8,0,533.95,0.13818,90.9,2.1975,0.36735,0.4216,1.0318,1,49,11,0,11,2,10,5,18,21,9,5,3,2,1,2,3,0,0,3,1,2,0,2,1,1,0,0,2,0,Senotherapeutic,1
