compound_name,canonical_smiles,molecule_chembl_id,warning_class,warning_type,Total Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Senotherapeutic,DataSet,Senotherapeutic
BUFLOMEDIL,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,CHEMBL188921,neurotoxicity,Withdrawn,307.389,307.178359,2.3141,-2.703,5,0,250.91,0.18568,48,2.7412,0.59091,0.49148,0.71956,1,22,5,0,5,0,8,2,6,14,6,2,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,NoSenotherapeutic,0
BUTAMBEN PICRATE,CCCCOC(=O)c1ccc(N)cc1.CCCCOC(=O)c1ccc(N)cc1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,CHEMBL3142541,neurotoxicity,Withdrawn,615.594,228.997102,-1.4509,-2.7,10,1,150.62,0.69287,157.69,-7.5665,0.4375,0.52477,0.74499,3,16,10,0,10,0,3,1,6,4,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
MINAPRINE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,CHEMBL278819,neurotoxicity,Withdrawn,298.389,298.179361,1.5911,-2.567,5,1,243.62,0.19272,50.28,2.4865,0.68182,0.44668,0.70898,1,22,5,0,5,0,5,3,12,9,4,3,1,2,1,1,2,0,0,1,1,1,1,0,2,1,1,2,1,0,0,NoSenotherapeutic,0
SIBUTRAMINE,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,CHEMBL1419,neurotoxicity,Withdrawn,279.853,279.175376,4.2703,-4.069,1,0,224.97,0.01578,3.24,1.4302,0.52632,0.55795,0.73369,1,19,2,0,2,1,5,2,6,12,5,2,2,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,NoSenotherapeutic,0
TEGASEROD MALEATE,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12.O=C(O)/C=C\C(=O)O,CHEMBL1516474,neurotoxicity,Withdrawn,417.464,301.19026,2.8267,-3.563,6,4,254.98,0.2903,85.29,-0.46519,0.72727,0.42069,0.75761,2,22,6,0,6,0,7,2,9,7,0,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,NoSenotherapeutic,0
ALMITRINE,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,CHEMBL1183717,neurotoxicity,Withdrawn,477.561,477.245249,4.8395,-5.756,7,2,375.92,0.1674,69.21,1.3656,0.48571,0.39817,0.81145,1,35,9,0,9,0,10,4,18,8,17,4,2,2,1,1,3,0,0,2,1,1,1,0,4,1,3,3,4,0,0,NoSenotherapeutic,0
MEPAZINE ACETATE,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,CHEMBL1712842,neurotoxicity,Withdrawn,370.515,310.150368,4.5425,-4.611,2,0,237.67,0.10346,31.78,5.2505,0.45455,0.33985,0.82582,2,22,3,0,3,1,2,4,12,10,6,4,2,2,1,2,2,0,0,2,1,2,0,0,2,1,1,0,1,0,0,NoSenotherapeutic,0
FIPEXIDE,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,CHEMBL254857,neurotoxicity,Withdrawn,388.85,388.118985,3.1537,-3.378,6,0,286.11,0.17525,51.24,7.3967,0.66667,0.46497,0.74421,1,27,7,0,7,0,5,4,12,11,4,4,2,2,1,2,2,0,0,2,1,2,0,1,1,1,0,0,1,0,0,NoSenotherapeutic,0
ALATROFLOXACIN MESYLATE,CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,CHEMBL1200498,hepatotoxicity,Withdrawn,654.621,558.183853,-1.6649,-6.317,11,4,378.97,0.32066,157.96,2.5181,0.5,0.4174,0.96969,2,40,14,0,14,5,7,5,12,12,0,6,2,4,3,4,2,1,1,1,2,3,1,2,2,1,1,1,2,1,0,NoSenotherapeutic,0
BENZARONE,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,CHEMBL1474963,hepatotoxicity,Withdrawn,266.295,266.094295,3.709,-5.106,3,1,207.43,0.19404,50.44,0.62751,0.55,0.46373,0.81096,1,20,3,0,3,0,3,3,15,3,2,3,2,1,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
