GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID
TP53,10-carboxymethyl-9-acridanone,Homo sapiens,10-carboxymethyl-9-acridanone affects the activity of TP53 protein,affects^activity,35435491,C026430
TP53,10-carboxymethyl-9-acridanone,Homo sapiens,10-carboxymethyl-9-acridanone metabolite affects the activity of TP53 protein,affects^activity,35435491,C026430
TP53,10-decarbamoylmitomycin C,Homo sapiens,10-decarbamoylmitomycin C results in increased stability of TP53 protein,increases^stability,20536192,C067795
TP53,10-decarbamoylmitomycin C,Homo sapiens,[10-decarbamoylmitomycin C results in increased stability of TP53 protein] which results in increased expression of CDKN1A mRNA,increases^expression|increases^stability,20536192,C067795
TP53,"1,10-phenanthroline",Homo sapiens,"1,10-phenanthroline analog affects the activity of TP53 protein",affects^activity,35435491,C025205
TP53,"11,11'-dideoxyverticilin",Homo sapiens,"11,11'-dideoxyverticilin results in increased expression of and results in increased phosphorylation of TP53 protein",increases^expression|increases^phosphorylation,15963507,C490191
TP53,"1,2,5,6-dibenzanthracene",Homo sapiens,"TP53 protein affects the reaction [1,2,5,6-dibenzanthracene results in increased expression of CYP1A1 protein]",affects^reaction|increases^expression,25398514,C026486
TP53,"1,2,5,6-dibenzanthracene",Homo sapiens,"TP53 protein results in increased susceptibility to 1,2,5,6-dibenzanthracene",increases^response to substance,25398514,C026486
TP53,"1,2-bis(isothiazol-5-yl)disulfane",Homo sapiens,"1,2-bis(isothiazol-5-yl)disulfane results in decreased expression of TP53 protein",decreases^expression,23056207,C579148
TP53,"1',2'-dihydrorotenone",Homo sapiens,"1',2'-dihydrorotenone results in decreased phosphorylation of and results in decreased expression of TP53 protein",decreases^expression|decreases^phosphorylation,24615755,C044985
TP53,"1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the reaction [Silver Compounds affects the expression of TP53 mRNA]",affects^binding|affects^cotreatment|affects^expression|affects^reaction,35385781,C512968
TP53,"1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide",Homo sapiens,"[[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] co-treated with Silver Compounds] results in decreased expression of TP53 mRNA",affects^binding|affects^cotreatment|decreases^expression,35385781,C512968
TP53,"1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] results in increased expression of TP53 mRNA",affects^binding|affects^cotreatment|increases^expression,35385781,C512968
TP53,"1,2-distearoyllecithin",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the reaction [Silver Compounds affects the expression of TP53 mRNA]",affects^binding|affects^cotreatment|affects^expression|affects^reaction,35385781,C010942
TP53,"1,2-distearoyllecithin",Homo sapiens,"[[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] co-treated with Silver Compounds] results in decreased expression of TP53 mRNA",affects^binding|affects^cotreatment|decreases^expression,35385781,C010942
TP53,"1,2-distearoyllecithin",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] results in increased expression of TP53 mRNA",affects^binding|affects^cotreatment|increases^expression,35385781,C010942
TP53,"1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the reaction [Silver Compounds affects the expression of TP53 mRNA]",affects^binding|affects^cotreatment|affects^expression|affects^reaction,35385781,C519184
TP53,"1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)",Homo sapiens,"[[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] co-treated with Silver Compounds] results in decreased expression of TP53 mRNA",affects^binding|affects^cotreatment|decreases^expression,35385781,C519184
TP53,"1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] results in increased expression of TP53 mRNA",affects^binding|affects^cotreatment|increases^expression,35385781,C519184
TP53,12-hydroxyellipticine,Homo sapiens,TP53 protein results in decreased chemical synthesis of 12-hydroxyellipticine,decreases^chemical synthesis,29471073,C517214
TP53,13-hydroxyellipticine,Homo sapiens,[TP53 protein affects the susceptibility to Benzo(a)pyrene] which affects the chemical synthesis of 13-hydroxyellipticine,affects^chemical synthesis|affects^response to substance,29471073,C517215
TP53,13-hydroxyellipticine,Homo sapiens,TP53 protein results in decreased chemical synthesis of 13-hydroxyellipticine,decreases^chemical synthesis,29471073,C517215
TP53,"1,4,5,8-naphthalenetetracarboxylic diimide",Homo sapiens,"1,4,5,8-naphthalenetetracarboxylic diimide analog results in increased expression of TP53 protein",increases^expression,19954251,C429685
TP53,"1,4-phenylenebis(methylene)selenocyanate",Homo sapiens,"1,4-phenylenebis(methylene)selenocyanate results in increased expression of TP53 mRNA",increases^expression,17205524,C074153
TP53,"1,4-phenylenebis(methylene)selenocyanate",Homo sapiens,"AR protein promotes the reaction [1,4-phenylenebis(methylene)selenocyanate results in increased expression of TP53 mRNA]",increases^expression|increases^reaction,17205524,C074153
TP53,"1,5-bis(2,3-dimethoxyphenyl)penta-1,4-dien-3-one",Homo sapiens,"1,5-bis(2,3-dimethoxyphenyl)penta-1,4-dien-3-one results in increased phosphorylation of TP53 protein",increases^phosphorylation,21504179,C560296
TP53,17-(dimethylaminoethylamino)-17-demethoxygeldanamycin,Homo sapiens,TP53 gene affects the susceptibility to 17-(dimethylaminoethylamino)-17-demethoxygeldanamycin,affects^response to substance,17085670,C448659
TP53,"1,8-diazafluoren-one",Homo sapiens,"[1,8-diazafluoren-one results in decreased activity of HMOX1 protein] inhibits the reaction [cobaltiprotoporphyrin results in increased expression of TP53 protein]",decreases^activity|decreases^reaction|increases^expression,18042465,C406982
TP53,(19Z)-halichondramide,Homo sapiens,(19Z)-halichondramide results in increased expression of TP53 protein,increases^expression,23147639,C495172
TP53,1'-acetoxychavicol acetate,Homo sapiens,[1'-acetoxychavicol acetate co-treated with Butyric Acid] results in increased phosphorylation of TP53 protein,affects^cotreatment|increases^phosphorylation,24480522,C047948
TP53,1 alpha-hydroxyergocalciferol,Homo sapiens,1 alpha-hydroxyergocalciferol results in decreased phosphorylation of TP53 protein,decreases^phosphorylation,28586017,C042533
TP53,1-aminomethylphosphonic acid,Homo sapiens,1-aminomethylphosphonic acid results in increased expression of TP53 protein,increases^expression,23983455,C036423
TP53,"1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one",Homo sapiens,"1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one results in increased stability of and results in increased expression of and results in increased phosphorylation of TP53 protein",increases^expression|increases^phosphorylation|increases^stability,16288207,C095284
TP53,1-hexadecyl-3-methylimidazolium chloride,Homo sapiens,1-hexadecyl-3-methylimidazolium chloride results in increased expression of TP53 mRNA,increases^expression,29842889,C540044
TP53,1-hydroxy-1-norresistomycin,Homo sapiens,1-hydroxy-1-norresistomycin results in increased expression of TP53 mRNA,increases^expression,29596799,C506325
TP53,1-hydroxy-1-norresistomycin,Homo sapiens,1-hydroxy-1-norresistomycin results in increased expression of TP53 protein,increases^expression,29596799,C506325
TP53,"1-hydroxy-2-oxo-3,3-bis(2-aminoethyl)-1-triazene",Homo sapiens,"[1-hydroxy-2-oxo-3,3-bis(2-aminoethyl)-1-triazene results in decreased degradation of HIF1A protein] which results in increased phosphorylation of and results in increased activity of TP53 protein",decreases^degradation|increases^activity|increases^phosphorylation,18424783,C105351
TP53,1'-(hydroxymethyl)eugenol,Homo sapiens,1'-(hydroxymethyl)eugenol results in increased phosphorylation of TP53 protein,increases^phosphorylation,28818686,C108731
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,1-Methyl-4-phenylpyridinium results in decreased expression of TP53 mRNA,decreases^expression,24810058,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,1-Methyl-4-phenylpyridinium results in increased expression of TP53 mRNA,increases^expression,26357513,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,1-Methyl-4-phenylpyridinium results in increased expression of TP53 protein,increases^expression,28481321,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,atractylenolide I inhibits the reaction [1-Methyl-4-phenylpyridinium results in increased expression of TP53 protein],decreases^reaction|increases^expression,28481321,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,[EEF1A2 protein affects the susceptibility to 1-Methyl-4-phenylpyridinium] which affects the expression of TP53 mRNA,affects^expression|affects^response to substance,37051183,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,mangostin inhibits the reaction [1-Methyl-4-phenylpyridinium results in increased expression of TP53 mRNA],decreases^reaction|increases^expression,26357513,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,U 0126 affects the reaction [1-Methyl-4-phenylpyridinium affects the expression of TP53 mRNA],affects^expression|affects^reaction,12710931,D015655
