#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACD	TERF2	9606.ENSP00000483117	9606.ENSP00000254942	0	0	0	0	0.067	0.922	0.720	0.993	0.999
ACD	CCNA1	9606.ENSP00000483117	9606.ENSP00000255465	0	0	0	0	0	0	0.400	0	0.400
ACD	NBN	9606.ENSP00000483117	9606.ENSP00000265433	0	0	0	0	0	0	0.500	0.049	0.504
ACD	CDK2	9606.ENSP00000483117	9606.ENSP00000266970	0	0	0	0	0.049	0	0.400	0	0.405
ACD	TINF2	9606.ENSP00000483117	9606.ENSP00000267415	0	0	0	0	0.055	0.991	0.800	0.999	0.999
ACD	H2BC1	9606.ENSP00000483117	9606.ENSP00000274764	0	0	0	0	0	0	0.500	0	0.499
ACD	TERF1	9606.ENSP00000483117	9606.ENSP00000276603	0	0	0	0	0	0.878	0.720	0.998	0.999
ACD	H2BC5	9606.ENSP00000483117	9606.ENSP00000289316	0	0	0	0	0	0	0.500	0	0.499
ACD	TERF2IP	9606.ENSP00000483117	9606.ENSP00000300086	0	0	0	0	0.049	0.874	0.800	0.967	0.999
ACD	H2AZ2	9606.ENSP00000483117	9606.ENSP00000308405	0	0	0	0	0	0	0.500	0	0.499
ACD	H2BC4	9606.ENSP00000483117	9606.ENSP00000321744	0	0	0	0	0	0	0.500	0	0.499
ACD	MRE11	9606.ENSP00000483117	9606.ENSP00000325863	0	0	0	0	0	0	0.500	0	0.499
ACD	H2AC14	9606.ENSP00000483117	9606.ENSP00000328484	0	0	0	0	0	0	0.500	0	0.499
ACD	H2AC20	9606.ENSP00000483117	9606.ENSP00000332194	0	0	0	0	0	0	0.500	0.106	0.533
ACD	H2AC7	9606.ENSP00000483117	9606.ENSP00000341094	0	0	0	0	0	0	0.500	0	0.499
ACD	H2BC12	9606.ENSP00000483117	9606.ENSP00000349430	0	0	0	0	0	0	0.500	0	0.499
ACD	POT1	9606.ENSP00000483117	9606.ENSP00000350249	0	0	0	0	0	0.991	0.800	0.998	0.999
ACD	H3-4	9606.ENSP00000483117	9606.ENSP00000355657	0	0	0	0	0	0	0.500	0.104	0.532
ACD	H2BC21	9606.ENSP00000483117	9606.ENSP00000358151	0	0	0	0	0	0	0.500	0.098	0.529
ACD	H2AC18	9606.ENSP00000483117	9606.ENSP00000358155	0	0	0	0	0	0	0.500	0.105	0.533
ACD	H2BC13	9606.ENSP00000483117	9606.ENSP00000366618	0	0	0	0	0.044	0	0.500	0	0.501
ACD	H2AC6	9606.ENSP00000483117	9606.ENSP00000367022	0	0	0	0	0	0	0.500	0	0.499
ACD	RAD50	9606.ENSP00000483117	9606.ENSP00000368100	0	0	0	0	0	0	0.500	0	0.499
ACD	H2AX	9606.ENSP00000483117	9606.ENSP00000434024	0	0	0	0	0.074	0	0.500	0.150	0.572
ACD	H2AJ	9606.ENSP00000483117	9606.ENSP00000438553	0	0	0	0	0	0	0.500	0	0.499
ACD	H2BC11	9606.ENSP00000483117	9606.ENSP00000476136	0	0	0	0	0.044	0	0.500	0	0.501
ACD	H2BC17	9606.ENSP00000483117	9606.ENSP00000477527	0	0	0	0	0	0	0.500	0	0.499
ACD	H2BC14	9606.ENSP00000483117	9606.ENSP00000477907	0	0	0	0	0.044	0	0.500	0	0.501
ACD	H2BC9	9606.ENSP00000483117	9606.ENSP00000479169	0	0	0	0	0	0	0.500	0	0.499
ACD	CCNA2	9606.ENSP00000483117	9606.ENSP00000481380	0	0	0	0	0.050	0	0.400	0	0.405
ACD	H2BC3	9606.ENSP00000483117	9606.ENSP00000482674	0	0	0	0	0	0	0.500	0	0.499
ACD	H2BC15	9606.ENSP00000483117	9606.ENSP00000483903	0	0	0	0	0	0	0.500	0	0.499
ACD	H2AB1	9606.ENSP00000483117	9606.ENSP00000484261	0	0	0	0	0	0	0.500	0	0.499
AGO1	SIRT1	9606.ENSP00000362300	9606.ENSP00000212015	0	0	0	0	0	0.292	0	0.306	0.488
AGO1	CCND1	9606.ENSP00000362300	9606.ENSP00000227507	0	0	0	0	0.055	0	0.500	0.234	0.606
AGO1	MAPK14	9606.ENSP00000362300	9606.ENSP00000229795	0	0	0	0	0.049	0	0.500	0.070	0.519
AGO1	KDM6B	9606.ENSP00000362300	9606.ENSP00000254846	0	0	0	0	0.098	0	0.500	0.116	0.566
AGO1	PHC2	9606.ENSP00000362300	9606.ENSP00000257118	0	0	0	0	0.053	0	0.500	0	0.506
AGO1	CDK4	9606.ENSP00000362300	9606.ENSP00000257904	0	0	0	0	0.053	0	0.500	0.173	0.574
AGO1	CDKN2C	9606.ENSP00000362300	9606.ENSP00000262662	0	0	0	0	0	0.068	0.500	0.063	0.525
AGO1	E2F3	9606.ENSP00000362300	9606.ENSP00000262904	0	0	0	0	0.089	0.071	0.500	0.211	0.622
AGO1	CDK6	9606.ENSP00000362300	9606.ENSP00000265734	0	0	0	0	0.051	0	0.500	0.405	0.693
AGO1	TP53	9606.ENSP00000362300	9606.ENSP00000269305	0	0	0	0	0	0.234	0.500	0.306	0.710
AGO1	CBX8	9606.ENSP00000362300	9606.ENSP00000269385	0	0	0	0	0	0	0.500	0.065	0.512
AGO1	CBX4	9606.ENSP00000362300	9606.ENSP00000269397	0	0	0	0	0	0	0.500	0	0.499
AGO1	H2BC1	9606.ENSP00000362300	9606.ENSP00000274764	0	0.005	0	0	0	0	0.500	0.129	0.546
AGO1	TERF1	9606.ENSP00000362300	9606.ENSP00000276603	0	0	0	0	0	0	0	0.779	0.779
AGO1	CDKN2B	9606.ENSP00000362300	9606.ENSP00000276925	0	0	0	0	0	0.068	0.500	0.078	0.533
AGO1	H2BC5	9606.ENSP00000362300	9606.ENSP00000289316	0	0.005	0	0	0	0	0.500	0.138	0.550
AGO1	PPID	9606.ENSP00000362300	9606.ENSP00000303754	0	0	0	0	0.051	0.052	0	0.755	0.761
AGO1	H2AZ2	9606.ENSP00000362300	9606.ENSP00000308405	0	0	0	0	0.052	0	0.500	0.129	0.551
AGO1	CBX2	9606.ENSP00000362300	9606.ENSP00000308750	0	0	0	0	0	0	0.500	0	0.499
AGO1	SUZ12	9606.ENSP00000362300	9606.ENSP00000316578	0	0	0	0	0.049	0	0.500	0.198	0.585
AGO1	EZH2	9606.ENSP00000362300	9606.ENSP00000320147	0	0	0	0	0.059	0.069	0.500	0.842	0.921
AGO1	H2BC4	9606.ENSP00000362300	9606.ENSP00000321744	0	0.005	0	0	0	0	0.500	0.141	0.552
AGO1	H2AC14	9606.ENSP00000362300	9606.ENSP00000328484	0	0	0	0	0	0	0.500	0	0.499
AGO1	SP1	9606.ENSP00000362300	9606.ENSP00000329357	0	0	0	0	0.082	0.053	0.500	0.100	0.556
AGO1	H2AC20	9606.ENSP00000362300	9606.ENSP00000332194	0	0	0	0	0	0	0.500	0.167	0.565
AGO1	MAPK11	9606.ENSP00000362300	9606.ENSP00000333685	0	0	0	0	0	0	0.500	0.057	0.508
AGO1	TNRC6C	9606.ENSP00000362300	9606.ENSP00000336783	0	0	0	0	0.060	0.916	0.400	0.805	0.989
AGO1	EED	9606.ENSP00000362300	9606.ENSP00000338186	0	0	0	0	0.044	0	0.500	0.157	0.562
AGO1	FOXO3	9606.ENSP00000362300	9606.ENSP00000339527	0	0	0	0	0.067	0.045	0.400	0.180	0.503
AGO1	EIF4EBP1	9606.ENSP00000362300	9606.ENSP00000340691	0	0	0	0	0.056	0	0	0.594	0.600
AGO1	H2AC7	9606.ENSP00000362300	9606.ENSP00000341094	0	0	0	0	0	0	0.500	0.063	0.511
AGO1	E2F1	9606.ENSP00000362300	9606.ENSP00000345571	0	0	0	0	0.060	0.065	0.500	0.586	0.793
AGO1	H2BC12	9606.ENSP00000362300	9606.ENSP00000349430	0	0.005	0	0	0	0	0.500	0.129	0.546
AGO1	ETS2	9606.ENSP00000362300	9606.ENSP00000353344	0	0	0	0	0	0	0.500	0.085	0.523
AGO1	E2F2	9606.ENSP00000362300	9606.ENSP00000355249	0	0	0	0	0.082	0.071	0.500	0.129	0.579
AGO1	H3-4	9606.ENSP00000362300	9606.ENSP00000355657	0	0	0	0	0	0.059	0	0.419	0.430
AGO1	RNF2	9606.ENSP00000362300	9606.ENSP00000356480	0	0	0	0	0.085	0	0.500	0.145	0.575
AGO1	VENTX	9606.ENSP00000362300	9606.ENSP00000357556	0	0	0	0	0	0.050	0.500	0.066	0.517
AGO1	H2BC21	9606.ENSP00000362300	9606.ENSP00000358151	0	0.005	0	0	0	0	0.500	0.243	0.605
AGO1	H2AC18	9606.ENSP00000362300	9606.ENSP00000358155	0	0	0	0	0.042	0	0.500	0.175	0.570
AGO1	JUN	9606.ENSP00000362300	9606.ENSP00000360266	0	0	0	0	0	0	0.500	0.169	0.567
AGO1	PTEN	9606.ENSP00000362300	9606.ENSP00000361021	0	0	0	0	0.061	0.292	0.500	0.352	0.755
AGO1	AGO3	9606.ENSP00000362300	9606.ENSP00000362287	0	0	0.049	0.983	0.072	0.720	0.720	0.858	0.988
AGO1	H2AB1	9606.ENSP00000362300	9606.ENSP00000484261	0	0	0	0	0	0	0.500	0	0.499
